"candidate_id","rank","score","reasoning"
"CAND_0011687","11","0.96162","Senior NLP Engineer (7.8yr) at Niramai, Indore. JD-aligned: OpenSearch, FAISS, PEFT. Production evidence: Pinecone. 89% response rate; GitHub 76/100."
"CAND_0055905","12","0.95889","Senior Machine Learning Engineer (8.1yr) at Flipkart, London. JD-aligned: Elasticsearch, OpenSearch, Fine-tuning LLMs. Production evidence: sentence-transformer. active within 30d; 87% response rate. Concern: no GitHub linked."
"CAND_0046525","13","0.95834","Senior Machine Learning Engineer (6.1yr) at Genpact AI, Pune. JD-aligned: Elasticsearch, Information Retrieval, Sentence Transformers. Production evidence: A/B test. active within 24d; 88% response rate. Concern: 3 CV/robotics/speech skills — potential domain mismatch."
"CAND_0011162","14","0.94111","Recommendation Systems Engineer (5.8yr) at upGrad, Coimbatore. JD-aligned: FAISS, LoRA, Milvus. Production evidence: A/B test. 75% response rate; open-to-work."
"CAND_0099806","15","0.93927","AI Engineer (4.6yr) at Mad Street Den, Bhubaneswar. JD-aligned: LoRA, RAG, FAISS. Production evidence: A/B test. 76% response rate; GitHub 87/100."
"CAND_0024620","16","0.93696","AI Engineer (5.9yr) at PharmEasy, New York. JD-aligned: Semantic Search, BM25, Information Retrieval. Production evidence: learning-to-rank. open-to-work; product company pedigree."
"CAND_0070202","17","0.93686","Machine Learning Engineer (5.1yr) at BYJU'S, Jaipur. JD-aligned: Embeddings, Qdrant, LoRA. Production evidence: learning-to-rank. active within 27d; product company pedigree. Concern: no GitHub linked."
"CAND_0044222","18","0.93636","AI Engineer (7.7yr) at PolicyBazaar, Vizag. JD-aligned: OpenSearch, Qdrant, Weaviate. Production evidence: sentence-transformer. open-to-work; product company pedigree."
"CAND_0041610","19","0.93602","Recommendation Systems Engineer (6.7yr) at Zoho, Indore. JD-aligned: LoRA, Elasticsearch, OpenSearch. Production evidence: learning-to-rank. GitHub 52/100; ≤30d notice."
"CAND_0026532","20","0.93524","Recommendation Systems Engineer (4.8yr) at Zomato, Chennai. JD-aligned: LoRA, PEFT, Embeddings. Production evidence: sentence-transformer. open-to-work; product company pedigree."
"CAND_0080766","21","0.9313","Staff Machine Learning Engineer (8.8yr) at Salesforce, Coimbatore. JD-aligned: LoRA, Information Retrieval Systems, Elasticsearch. Production evidence: A/B test. immediate joiner; product company pedigree. Concern: 3 CV/robotics/speech skills — potential domain mismatch."
"CAND_0079387","22","0.92194","AI Engineer (6.9yr) at Microsoft, Trivandrum. JD-aligned: Sentence Transformers, OpenSearch, QLoRA. Production evidence: 10M+ users. 81% response rate; GitHub 64/100. Concern: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0069905","23","0.92173","Applied ML Engineer (6.6yr) at Sarvam AI, Bhubaneswar. JD-aligned: LoRA, Sentence Transformers, Weaviate. Production evidence: sentence-transformer. 78% response rate; GitHub 45/100. Concern: 4 CV/robotics/speech skills — potential domain mismatch."
"CAND_0030953","24","0.9215","Search Engineer (7.8yr) at Nykaa, Chennai. JD-aligned: Learning to Rank, Qdrant, Weaviate. Production evidence: A/B test. product company pedigree; title directly matches JD scope. Concern: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0030031","25","0.92096","AI Engineer (5.7yr) at Microsoft, Trivandrum. JD-aligned: Information Retrieval, RAG, LoRA. Production evidence: 10M+ users. active within 25d; 94% response rate. Concern: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0064326","26","0.92083","Search Engineer (7.6yr) at Sarvam AI, Gurgaon. JD-aligned: Milvus, Semantic Search, Weaviate. Production evidence: learning-to-rank. active within 26d; 94% response rate."
"CAND_0041669","27","0.91915","Recommendation Systems Engineer (8.0yr) at CRED, Noida. JD-aligned: FAISS, Milvus, PEFT. Production evidence: learning-to-rank. 77% response rate; GitHub 71/100."
"CAND_0096172","28","0.91738","NLP Engineer (5.2yr) at Krutrim, Chennai. JD-aligned: OpenSearch, Elasticsearch, Semantic Search. Production evidence: sentence-transformer. GitHub 65/100; product company pedigree."
"CAND_0095528","29","0.90686","Senior Data Scientist (5.3yr) at Netflix, Indore. JD-aligned: OpenSearch, Semantic Search, Qdrant. Production evidence: 10M+ users. open-to-work; product company pedigree. Concern: no GitHub linked."
"CAND_0005649","30","0.90602","Senior Data Scientist (7.4yr) at Sarvam AI, Delhi. JD-aligned: Fine-tuning LLMs, QLoRA, Semantic Search. Production evidence: sentence-transformer. GitHub 81/100; open-to-work."
"CAND_0050454","31","0.90552","AI Engineer (6.8yr) at Rephrase.ai, Delhi. JD-aligned: QLoRA, Fine-tuning LLMs, FAISS. Production evidence: sentence-transformer. 77% response rate. Held back by: no GitHub linked."
"CAND_0045250","32","0.90523","Applied ML Engineer (6.6yr) at Rephrase.ai, Delhi. JD-aligned: Sentence Transformers, Milvus, LoRA. Production evidence: A/B test. 74% response rate. Held back by: no GitHub linked."
"CAND_0044855","33","0.90078","Senior Data Scientist (6.6yr) at Flipkart, Coimbatore. JD-aligned: Learning to Rank, OpenSearch, Information Retrieval. Production evidence: OpenAI embed. GitHub 47/100. Held back by: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0037944","34","0.90074","Senior Data Scientist (4.9yr) at Vedantu, Jaipur. JD-aligned: QLoRA, OpenSearch, Embeddings. Production evidence: A/B test. GitHub 83/100, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0062247","35","0.90058","AI Engineer (7.3yr) at Google, Kochi. JD-aligned: Pinecone, Qdrant, RAG. Production evidence: sentence-transformer. 78% response rate. Held back by: 4 CV/robotics/speech skills — potential domain mismatch."
"CAND_0081686","36","0.89813","Search Engineer (6.0yr) at Netflix, Austin. JD-aligned: Embeddings, FAISS, Milvus. Production evidence: learning-to-rank. 91% response rate, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0006418","37","0.89586","Machine Learning Engineer (5.7yr) at Verloop.io, Gurgaon. JD-aligned: Semantic Search, Embeddings, Weaviate. Production evidence: A/B test. 92% response rate, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0027691","38","0.89266","NLP Engineer (6.5yr) at Haptik, Pune. JD-aligned: LoRA, PEFT, Weaviate. Production evidence: sentence-transformer. GitHub 58/100. Held back by: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0042506","39","0.89234","Search Engineer (4.2yr) at Verloop.io, Mumbai. JD-aligned: PEFT, Semantic Search, Fine-tuning LLMs. Production evidence: OpenAI embed. active within 25d. Held back by: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0072660","40","0.88946","Machine Learning Engineer (7.1yr) at Unacademy, Berlin. JD-aligned: LoRA, Information Retrieval, OpenSearch. Production evidence: learning-to-rank. active within 23d. Held back by: no GitHub linked."
"CAND_0068811","41","0.88563","Applied ML Engineer (8.0yr) at Freshworks, Pune. JD-aligned: Qdrant, Embeddings, Pinecone. Production evidence: 10M+ users. active within 26d. Held back by: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0051630","42","0.88396","Machine Learning Engineer (6.0yr) at Razorpay, Kolkata. JD-aligned: Elasticsearch, Embeddings, OpenSearch. Production evidence: learning-to-rank. GitHub 66/100, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0052328","43","0.88351","Recommendation Systems Engineer (6.5yr) at Amazon, Pune. JD-aligned: LoRA, OpenSearch, QLoRA. Production evidence: OpenAI embed. 79% response rate. Held back by: 5 CV/robotics/speech skills — potential domain mismatch."
"CAND_0047721","44","0.88301","Senior Data Scientist (7.0yr) at Microsoft, Coimbatore. JD-aligned: Learning to Rank, Milvus, BM25. Production evidence: 10M+ users. GitHub 90/100, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0065195","45","0.88266","Search Engineer (5.1yr) at CRED, Kolkata. JD-aligned: QLoRA, Elasticsearch, Qdrant. Production evidence: OpenAI embed. active within 23d, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0076251","46","0.88179","Search Engineer (7.6yr) at Haptik, Bhubaneswar. JD-aligned: Fine-tuning LLMs, Weaviate, Learning to Rank. Production evidence: sentence-transformer. open-to-work. Held back by: no GitHub linked."
"CAND_0017960","47","0.88177","Recommendation Systems Engineer (7.7yr) at Nykaa, Bangalore. JD-aligned: QLoRA, Qdrant, PEFT. Production evidence: A/B test. 72% response rate. Held back by: 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0099401","48","0.87857","NLP Engineer (7.7yr) at Dream11, Ahmedabad. JD-aligned: BM25, Embeddings, Qdrant. Production evidence: 10M+ users. active within 20d, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0007009","49","0.87742","Recommendation Systems Engineer (7.9yr) at Wysa, Noida. JD-aligned: Weaviate, Embeddings, Learning to Rank. Production evidence: OpenAI embed. GitHub 69/100, but JD core (retrieval + ranking + production eval) isn't well evidenced."
"CAND_0042029","50","0.87698","Senior Data Scientist (6.5yr) at Flipkart, Delhi. JD-aligned: RAG, Elasticsearch, Embeddings. Production evidence: A/B test. GitHub 79/100. Held back by: 3 CV/robotics/speech skills — potential domain mismatch."
"CAND_0066376","51","0.87654","Applied ML Engineer (5.7yr) at Dream11, Mumbai. JD-aligned: LoRA, Learning to Rank, Fine-tuning LLMs. Production evidence: 10M+ users. Gap: no GitHub linked. open-to-work keeps them in scope."
"CAND_0091909","52","0.87618","Machine Learning Engineer (6.9yr) at Rephrase.ai, Bangalore. JD-aligned: Pinecone, QLoRA, Qdrant. Production evidence: 10M+ users. Positive signal: GitHub 50/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0075249","53","0.87555","Applied ML Engineer (6.2yr) at Zomato, Ahmedabad. JD-aligned: Sentence Transformers, Milvus, Fine-tuning LLMs. Production evidence: 10M+ users. Positive signal: 82% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0032807","54","0.87532","Machine Learning Engineer (4.2yr) at CRED, Trivandrum. JD-aligned: OpenSearch, Fine-tuning LLMs, Sentence Transformers. Production evidence: OpenAI embed. Gap: 2 CV/robotics/speech skills — potential domain mismatch. open-to-work keeps them in scope."
"CAND_0075574","55","0.87458","Machine Learning Engineer (5.7yr) at Haptik, Bangalore. JD-aligned: Weaviate, OpenSearch, Qdrant. Production evidence: learning-to-rank. Positive signal: active within 30d. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0075439","56","0.87357","Machine Learning Engineer (4.3yr) at Flipkart, Vizag. JD-aligned: Learning to Rank, LoRA, Elasticsearch. Production evidence: OpenAI embed. Positive signal: GitHub 66/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0049538","57","0.87241","Applied ML Engineer (5.8yr) at Saarthi.ai, Jaipur. JD-aligned: Learning to Rank, OpenSearch, Milvus. Production evidence: learning-to-rank. Gap: 2 CV/robotics/speech skills — potential domain mismatch. active within 20d keeps them in scope."
"CAND_0051004","58","0.87235","Senior Data Scientist (4.7yr) at CRED, Delhi. JD-aligned: Embeddings, Semantic Search, Qdrant. Production evidence: OpenAI embed. Positive signal: 15d notice. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0018722","59","0.87108","Recommendation Systems Engineer (6.6yr) at Saarthi.ai, Toronto. JD-aligned: Weaviate, PEFT. Production evidence: sentence-transformer. Positive signal: 79% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0039383","60","0.87045","Applied ML Engineer (7.1yr) at Meesho, Gurgaon. JD-aligned: FAISS, QLoRA, LoRA. Production evidence: A/B test. Positive signal: GitHub 86/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0083307","61","0.87029","Search Engineer (7.8yr) at CRED, Vizag. JD-aligned: Embeddings, QLoRA, PEFT. Production evidence: OpenAI embed. Gap: 120d notice period. 70% response rate keeps them in scope."
"CAND_0029367","62","0.87027","Senior Data Scientist (5.7yr) at Rephrase.ai, Bangalore. JD-aligned: QLoRA, FAISS, Sentence Transformers. Production evidence: sentence-transformer. Positive signal: active within 27d. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0050876","63","0.86987","Applied ML Engineer (6.0yr) at Freshworks, Kolkata. JD-aligned: Qdrant, FAISS, OpenSearch. Production evidence: learning-to-rank. Gap: 2 CV/robotics/speech skills — potential domain mismatch. active within 21d keeps them in scope."
"CAND_0061655","64","0.86951","Machine Learning Engineer (4.6yr) at Krutrim, Jaipur. JD-aligned: PEFT, Pinecone, Qdrant. Production evidence: learning-to-rank. Positive signal: active within 26d. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0041568","65","0.86799","Search Engineer (5.2yr) at Haptik, Sydney. JD-aligned: PEFT, Weaviate, BM25. Production evidence: learning-to-rank. Gap: no GitHub linked. open-to-work keeps them in scope."
"CAND_0070398","66","0.86671","Machine Learning Engineer (7.2yr) at Genpact AI, Kochi. JD-aligned: BM25, RAG, FAISS. Production evidence: sentence-transformer. Gap: 120d notice period. GitHub 63/100 keeps them in scope."
"CAND_0081053","67","0.86575","NLP Engineer (5.4yr) at Glance, Chandigarh. JD-aligned: LoRA, QLoRA, Qdrant. Production evidence: 10M+ users. Gap: 3 CV/robotics/speech skills — potential domain mismatch. 83% response rate keeps them in scope."
"CAND_0076163","68","0.86557","NLP Engineer (6.9yr) at Ola, Chandigarh. JD-aligned: Weaviate, BM25, Semantic Search. Production evidence: learning-to-rank. Gap: 2 CV/robotics/speech skills — potential domain mismatch. 84% response rate keeps them in scope."
"CAND_0000031","69","0.86434","Recommendation Systems Engineer (6.0yr) at Swiggy, Hyderabad. JD-aligned: FAISS, Pinecone, Embeddings. Production evidence: A/B test. Gap: 2 CV/robotics/speech skills — potential domain mismatch. active within 23d keeps them in scope."
"CAND_0086151","70","0.86267","Recommendation Systems Engineer (7.7yr) at Wysa, Vizag. JD-aligned: Qdrant, OpenSearch, Embeddings. Production evidence: learning-to-rank. Gap: 120d notice period. GitHub 52/100 keeps them in scope."
"CAND_0008239","71","0.8612","AI Engineer (4.0yr) at Apple, Jaipur. JD-aligned: Milvus, Semantic Search, Elasticsearch. Production evidence: learning-to-rank. Positive signal: 73% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0018549","72","0.8608","Recommendation Systems Engineer (6.8yr) at Uber, Coimbatore. JD-aligned: Weaviate, Elasticsearch, Qdrant. Production evidence: learning-to-rank. Gap: 2 CV/robotics/speech skills — potential domain mismatch. 73% response rate keeps them in scope."
"CAND_0006557","73","0.86051","NLP Engineer (7.9yr) at Paytm, Jaipur. JD-aligned: Elasticsearch, OpenSearch, Weaviate. Production evidence: learning-to-rank. Gap: no GitHub linked. open-to-work keeps them in scope."
"CAND_0003977","74","0.86035","Recommendation Systems Engineer (4.6yr) at Google, Delhi. JD-aligned: Learning to Rank, Embeddings, Semantic Search. Production evidence: sentence-transformer. Gap: 2 CV/robotics/speech skills — potential domain mismatch. GitHub 58/100 keeps them in scope."
"CAND_0053591","75","0.85956","AI Engineer (5.3yr) at Ola, Toronto. JD-aligned: Embeddings, Milvus, OpenSearch. Production evidence: A/B test. Positive signal: active within 30d. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0054123","76","0.85932","Applied ML Engineer (4.7yr) at Meta, Gurgaon. JD-aligned: Weaviate, Qdrant, Semantic Search. Production evidence: 10M+ users. Positive signal: 87% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0057563","77","0.85878","NLP Engineer (6.8yr) at Locobuzz, Indore. JD-aligned: RAG, Elasticsearch, OpenSearch. Production evidence: learning-to-rank. Positive signal: 83% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0093547","78","0.85826","Senior Machine Learning Engineer (2.9yr) at PhonePe, Coimbatore. JD-aligned: RAG, QLoRA, PEFT. Production evidence: Pinecone. Positive signal: 75% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0074225","79","0.8568","Machine Learning Engineer (4.3yr) at Unacademy, Vizag. JD-aligned: Semantic Search, Elasticsearch, Milvus. Production evidence: A/B test. Outside the strong-fit band — 120d notice period."
"CAND_0014440","80","0.85674","Recommendation Systems Engineer (6.4yr) at CRED, Chennai. JD-aligned: Elasticsearch, Milvus, FAISS. Production evidence: learning-to-rank. Positive signal: GitHub 90/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0020877","81","0.85563","Applied ML Engineer (5.1yr) at CRED, Gurgaon. JD-aligned: QLoRA, Elasticsearch, OpenSearch. Production evidence: sentence-transformer. Positive signal: GitHub 74/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0077285","82","0.85538","Recommendation Systems Engineer (5.5yr) at Nykaa, Ahmedabad. JD-aligned: LoRA, Pinecone, Sentence Transformers. Production evidence: A/B test. Positive signal: GitHub 76/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0061265","83","0.855","Recommendation Systems Engineer (6.6yr) at Zoho, Delhi. JD-aligned: Qdrant, Learning to Rank, QLoRA. Production evidence: sentence-transformer. Outside the strong-fit band — 120d notice period."
"CAND_0030348","84","0.85392","Machine Learning Engineer (4.5yr) at BYJU'S, Noida. JD-aligned: Embeddings, Elasticsearch. Production evidence: sentence-transformer. Outside the strong-fit band — no GitHub linked."
"CAND_0036437","85","0.85351","Search Engineer (4.8yr) at Rephrase.ai, Kolkata. JD-aligned: OpenSearch, Elasticsearch, Sentence Transformers. Production evidence: learning-to-rank. Positive signal: 87% response rate. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0022812","86","0.8528","Applied ML Engineer (4.5yr) at Dream11, Coimbatore. JD-aligned: Weaviate, Pinecone, LoRA. Production evidence: A/B test. Outside the strong-fit band — no GitHub linked."
"CAND_0028793","87","0.85252","Search Engineer (7.2yr) at Google, Trivandrum. JD-aligned: Embeddings, LoRA, Learning to Rank. Production evidence: sentence-transformer. Outside the strong-fit band — 120d notice period."
"CAND_0043228","88","0.8511","Applied ML Engineer (6.8yr) at Zoho, Chennai. JD-aligned: Sentence Transformers, Weaviate, Learning to Rank. Production evidence: learning-to-rank. Outside the strong-fit band — 4 CV/robotics/speech skills — potential domain mismatch."
"CAND_0039838","89","0.84973","Recommendation Systems Engineer (4.9yr) at Amazon, Kochi. JD-aligned: Embeddings, Semantic Search, LoRA. Production evidence: A/B test. Outside the strong-fit band — 3 CV/robotics/speech skills — potential domain mismatch."
"CAND_0087630","90","0.84946","AI Engineer (7.2yr) at Vedantu, Gurgaon. JD-aligned: Elasticsearch, Learning to Rank, QLoRA. Production evidence: 10M+ users. Positive signal: ≤30d notice. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0092245","91","0.84946","Senior Data Scientist (4.1yr) at Ola, Coimbatore. JD-aligned: Embeddings, RAG, FAISS. Production evidence: A/B test. Outside the strong-fit band — no GitHub linked."
"CAND_0051292","92","0.8483","Applied ML Engineer (5.2yr) at Freshworks, Trivandrum. JD-aligned: FAISS, PEFT, Fine-tuning LLMs. Production evidence: learning-to-rank. Positive signal: GitHub 62/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0030784","93","0.84497","Data Scientist (4.4yr) at Yellow.ai, Delhi. JD-aligned: Embeddings, Learning to Rank, RAG. Production evidence: fine-tuning, not from-scratch model design. Outside the strong-fit band — 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0093912","94","0.84464","Senior Data Scientist (5.3yr) at Razorpay, Chandigarh. JD-aligned: Milvus, Embeddings, Learning to Rank. Production evidence: learning-to-rank. Positive signal: GitHub 82/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0068351","95","0.843","Lead AI Engineer (6.4yr) at Sarvam AI, Delhi. JD-aligned skills: Qdrant, Elasticsearch, PEFT. Also: Ranking Systems. Outside the strong-fit band — no GitHub linked."
"CAND_0096142","96","0.84196","Applied ML Engineer (5.0yr) at upGrad, Hyderabad. JD-aligned: LoRA, Weaviate, Pinecone. Production evidence: A/B test. Outside the strong-fit band — 120d notice period."
"CAND_0012957","97","0.83927","Search Engineer (4.9yr) at Razorpay, Chennai. JD-aligned: RAG, PEFT, BM25. Production evidence: learning-to-rank. Outside the strong-fit band — 120d notice period."
"CAND_0032515","98","0.83843","Machine Learning Engineer (5.1yr) at PharmEasy, Seattle. JD-aligned: Milvus, QLoRA, Fine-tuning LLMs. Production evidence: learning-to-rank. Positive signal: GitHub 67/100. Weak on JD specifics — no retrieval/ranking production evidence."
"CAND_0066999","99","0.83659","Recommendation Systems Engineer (5.9yr) at Microsoft, Delhi. JD-aligned: OpenSearch, FAISS, Pinecone. Production evidence: learning-to-rank. Outside the strong-fit band — 2 CV/robotics/speech skills — potential domain mismatch."
"CAND_0040887","100","0.83641","Machine Learning Engineer (4.7yr) at Netflix, Toronto. JD-aligned: FAISS, LoRA, PEFT. Production evidence: sentence-transformer. Positive signal: active within 23d. Weak on JD specifics — no retrieval/ranking production evidence."
